Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
0,Open,Center,Focus,Center,Straight Front Ahead,Straight
1,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
2,Open,Center,Focus,45Degree Left,Straight Front Ahead,Straight
3,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
4,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
5,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
6,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
7,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
8,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
9,Open,Center,Focus,Center,Straight Front Ahead,Straight
10,Open,Center,Focus,Center,Straight Front Ahead,Straight
11,Open,Center,Focus,Center,Straight Front Ahead,Straight
12,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
13,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
14,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
15,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
16,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
17,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
18,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
19,Open,Center,Focus,Center,Straight Front Ahead,Straight
20,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
21,Open,Center,Focus,Center,Straight Front Ahead,Straight
22,Open,Center,Focus,Center,Straight Front Ahead,Straight
23,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
24,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
25,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
26,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
27,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
28,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
29,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
30,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
31,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
32,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
33,Open,Center,Focus,Center,Straight Front Ahead,Straight
34,Open,Center,Focus,Center,Straight Front Ahead,Straight
35,Open,Center,Focus,Center,Straight Front Ahead,Straight
36,Open,Center,Focus,Center,Straight Front Ahead,Straight
37,Open,Center,Focus,Center,Straight Front Ahead,Straight
38,Open,Center,Focus,Center,Straight Front Ahead,Straight
39,Open,Center,Focus,Center,Straight Front Ahead,Straight
40,Open,Center,Focus,Center,Straight Front Ahead,Straight
41,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
42,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
43,Open,Center,Focus,Center,Straight Front Ahead,Straight
44,Open,Center,Focus,Center,Straight Front Ahead,Straight
45,Open,Center,Focus,Center,Straight Front Ahead,Straight
46,Open,Center,Focus,Center,Straight Front Ahead,Straight
47,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
48,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
49,Open,Center,Focus,Center,Straight Front Ahead,Straight
50,Open,Center,Focus,Center,Straight Front Ahead,Straight
51,Open,Center,Focus,Center,Straight Front Ahead,Straight
52,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
53,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
54,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
55,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
56,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
57,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
